instance,ks-noInit-noLS,ks-noInit-shortLS,ks-noInit-LS,ks-noInit-LSnonPerm,ks-mNEH-noLS,ks-mNEH-shortLS,ks-mNEH-LS,ks-mNEH-LSnonPerm,ks-NEH-noLS,ks-NEH-shortLS,ks-NEH-LS,ks-NEH-LSnonPerm,ks-LK-noLS,ks-LK-shortLS,ks-LK-LS,ks-LK-LSnonPerm,timeMeasure,instanceSet,bufferType,instanceSize
LGF-Berlin-150-80000-2--maxScore-160000-interBuf-13127-bitVector,0.198778582003618,0.202109721993748,0.394760651422931,0.620147228162525,0.398503043263694,0.598248067116301,1,0.206160552722487,0.979005593025169,0.200814278664253,0.588439710478696,0.0687613094258922,0.379297581839118,0.197400888303997,0.202027471623622,0.203549103470965,bitVector,Berlin,interBuf,large
LGF-Berlin-150-80000-2--maxScore-160000-spanBuf-59045-bitVector,0,0.332023575638507,0,0.381587564195361,0,0,1,0,0.324647571778168,0.650329162789095,0.329852135249715,0.266742494743736,0.671595491676146,0,0,0,bitVector,Berlin,spanBuf,large
LGF-Berlin-150-80000-3--maxScore-160000-interBuf-9406-bitVector,0.581612002791347,0,0,0.131402651779484,0.65579204466155,0.334473133286811,0.666678297278437,0,0.654849965108165,0.333356594556873,1,0.1337752965806,0,0,0.342114445219818,0,bitVector,Berlin,interBuf,large
LGF-Berlin-150-80000-3--maxScore-160000-spanBuf-64224-bitVector,0,0.503566628760467,0.504703814742065,0.139667114649023,0,0,0.50439367311072,0.154140390778455,0.499844929184327,0.493642096557427,0,0.210844619042696,0,1,0,0.651659257727695,bitVector,Berlin,spanBuf,large
LGF-Berlin-50-80000-1--maxScore-160000-interBuf-13249-bitVector,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,bitVector,Berlin,interBuf,small
LGF-Berlin-50-80000-1--maxScore-160000-spanBuf-67435-bitVector,0,0,0,0.117818108894014,0.981149102576958,0.991075904943347,0.991176175674321,0.0283766168655369,0,0,0,0,0.977940439185802,0.979243958688459,1,0.0555499849593903,bitVector,Berlin,spanBuf,small
LGF-Berlin-50-80000-2--maxScore-160000-interBuf-10963-bitVector,0.538372661422921,0.852627057133124,0.557184967930201,1,0.142558769941786,0.549497104089824,0.279977484483551,0.560414166999955,0.279340532373462,0.288465241671481,0.274289354012058,0.42517293990431,0.527188967396939,0.838614110711166,0.695966463730764,0.28606556162882,bitVector,Berlin,interBuf,small
LGF-Berlin-50-80000-2--maxScore-160000-spanBuf-51138-bitVector,0.560903188637017,0.204015156551219,0.210241751423696,0.202397571406412,1,0.812603868909124,0.393671475104699,0.197256752864011,0.597265616344256,0.6159675596623,0.409714374349088,0.199494781626005,0,0.401471337720756,0.412683640231336,0,bitVector,Berlin,spanBuf,small
LGF-Berlin-50-80000-3--maxScore-160000-interBuf-9776-bitVector,0.246408187364692,0.803835015604354,0,0.548992043186101,0.806843422273457,0,0,0.274749065144657,0,0.277335732561082,0.264880366631991,0,1,0.27584558720162,0.547698709477888,0.264486743329491,bitVector,Berlin,interBuf,small
LGF-Berlin-50-80000-3--maxScore-160000-spanBuf-58723-bitVector,0.463103412934303,0,0,0,0,1,0,0,0.486778722968125,0.495490417136414,0,0,0,0,0,0.50046120733832,bitVector,Berlin,spanBuf,small
