instance,ks-noInit-noLS,ks-noInit-shortLS,ks-noInit-LS,ks-noInit-LSnonPerm,ks-mNEH-noLS,ks-mNEH-shortLS,ks-mNEH-LS,ks-mNEH-LSnonPerm,ks-NEH-noLS,ks-NEH-shortLS,ks-NEH-LS,ks-NEH-LSnonPerm,ks-LK-noLS,ks-LK-shortLS,ks-LK-LS,ks-LK-LSnonPerm,timeMeasure,instanceSet,bufferType,instanceSize
LGF-Berlin-150-80000-1--minTime-82-interBuf-14374-time,1,1.30662322389828,1.98619974238679,1.66452653101925,1.1269881191009,1.71906985198202,2.18054737135179,1.89539290168011,1.17266108831239,1.78450679678934,2.15657606025172,1.89948112283842,1.15847729561866,2.0519748485663,1.90443185256994,2.05842167131657,time,Berlin,interBuf,large
LGF-Berlin-150-80000-1--minTime-82-spanBuf-68779-time,1.15594881824283,1.45342338632923,1.95462328181415,1.63436628731813,1.17569131622076,1.76992426470082,1.82254384149457,1.58239018147724,1.18641237392715,1.76487527397977,1.86155640946044,1.55879513314771,1,1.60956170033045,1.81871788422512,1.7150527472247,time,Berlin,spanBuf,large
LGF-Berlin-150-80000-2--minTime-76-interBuf-10030-time,1,2.97480640463358,4,4,2.46537135266829,4,4,4,2.7576309091118,3.97805513823155,4,4,2,3.84425760200123,4,4,time,Berlin,interBuf,large
LGF-Berlin-150-80000-2--minTime-76-spanBuf-58669-time,1,4,4,4,2,4,4,4,3,4,4,4,4,4,4,4,time,Berlin,spanBuf,large
LGF-Berlin-150-80000-3--minTime-78-interBuf-12429-time,4,4,4,4,4,4,4,4,4,4,4,4,1,2,3,4,time,Berlin,interBuf,large
LGF-Berlin-150-80000-3--minTime-78-spanBuf-57423-time,1.91721440155489,4,4,4,2.73344528825835,4,4,4,1,4,4,4,3.58952558895238,4,4,4,time,Berlin,spanBuf,large
LGF-Berlin-50-80000-1--minTime-26-interBuf-17586-time,1,4,4,4,3.29421365637286,4,4,4,2.94321559890368,4,4,4,4,1.67528945198085,2.69098360775372,2.4896899817627,time,Berlin,interBuf,small
LGF-Berlin-50-80000-1--minTime-26-spanBuf-64071-time,1.3918658111604,1.3918658111604,1.3918658111604,1.3918658111604,1.3918658111604,1.3918658111604,1.3918658111604,1.3918658111604,1.3918658111604,1.3918658111604,1.3918658111604,1.3918658111604,1,1.3918658111604,1.3918658111604,1.3918658111604,time,Berlin,spanBuf,small
LGF-Berlin-50-80000-2--minTime-28-interBuf-13807-time,1,4,4,4,1.71980209553961,4,4,4,1.72903032753372,4,4,4,1,4,4,4,time,Berlin,interBuf,small
LGF-Berlin-50-80000-2--minTime-28-spanBuf-50577-time,2,3,4,4,4,4,4,4,4,4,4,4,1,4,4,4,time,Berlin,spanBuf,small
LGF-Berlin-50-80000-3--minTime-26-interBuf-9751-time,1,1,4,4,1,1.41366449474798,3.17101540775068,4,1,1.45560949596368,3.30986782556818,4,1,1,4,4,time,Berlin,interBuf,small
LGF-Berlin-50-80000-3--minTime-26-spanBuf-58283-time,4,4,4,4,1.07055873668345,1.07055873668345,1.07055873668345,1,1.07055873668345,1.07055873668345,1.07055873668345,1.00000718447578,4,4,4,4,time,Berlin,spanBuf,small
LGF-brazil58-gen4-45.oplib-11428--minTime-279-interBuf-975-time,1.66765882487336,1.68522108443125,1.72299847603673,1.55935439923556,1.67050672869779,1.68885324523104,1.71921222329248,1.22513081888113,1.67042320631004,1.68815100274691,1.71987462715079,1,1.68476229183882,1.70410005430149,1.74768215384185,1.36613991393241,time,oplib,interBuf,mid
LGF-brazil58-gen4-45.oplib-11428--minTime-279-spanBuf-4803-time,1.24848480294946,1.34402567487693,1.46232503447878,1,1.31727229873492,1.3651338910095,1.44350550237068,1.199727906196,1.31645774639106,1.36464479805889,1.44133294489631,1.08603866004013,2.24916449101489,1.83012109085316,1.45189377759957,1.20409200004748,time,oplib,spanBuf,mid
LGF-gr120-gen4-85.oplib-5901--minTime-594-interBuf-237-time,1,1.61523370510949,2.5276471707664,1.985812809962,1.07301487214333,1.85352691030921,2.66235331733034,1.93646452880291,1.09686942150664,1.85720496608276,2.6232401233075,1.9706265846006,1.5086416980502,2.48956025499491,2.95977468576715,2.2911280738441,time,oplib,interBuf,large
LGF-gr120-gen4-85.oplib-5901--minTime-594-spanBuf-941-time,1.54391664768609,1.64014893921284,1.79861159385311,1.74087509490366,1.00023357062953,1.17294407987912,1.37630782779147,1.28434435049722,1,1.1730778788652,1.37866023354586,1.46895130668784,1.11367548180619,1.60288320457499,2.08306100215347,2.0463571252969,time,oplib,spanBuf,large
LGF-gr48-gen4-80.oplib-4037--minTime-232-interBuf-179-time,1,1,4,3.15366161616161,1,1,4,4,1,1,4,4,1,1,2.18661616161616,4,time,oplib,interBuf,small
LGF-gr48-gen4-80.oplib-4037--minTime-232-spanBuf-1034-time,1,1.06146661423531,1.18255525395739,1.14812944388188,1.01039995727073,1.067074997972,1.13822296827646,1.09720483259204,1.01404814318479,1.07139398013911,1.14764003724033,1.09444572125428,2.40724346892275,1.09574091047151,1.25173587426196,1.21646600052188,time,oplib,spanBuf,small
LGF-hk48-gen4-80.oplib-9169--minTime-232-interBuf-514-time,2.4987292109092,2.65152612941597,2.49554939663551,1.9664422868457,2.53065216990741,2.63661265115881,2.85435567805622,2.36455238297753,2.53637628036387,2.62299061174158,2.85320515169235,2.60543103580341,1,2.01363192305783,2.85408760195416,2.2921256294026,time,oplib,interBuf,small
LGF-hk48-gen4-80.oplib-9169--minTime-232-spanBuf-2508-time,1.02024221453287,4,4,4,1,4,4,4,1,4,4,4,4,4,4,4,time,oplib,spanBuf,small
LGF-Leipzig-100-80000-1--minTime-52-interBuf-4157-time,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,2,time,Leipzig,interBuf,mid
LGF-Leipzig-100-80000-1--minTime-52-spanBuf-15365-time,4,4,4,4,1,1.30262407405374,4,4,1.34001664100324,1.38877534743742,4,4,4,4,4,4,time,Leipzig,spanBuf,mid
LGF-Leipzig-100-80000-2--minTime-56-interBuf-3297-time,4,1,3.34074645515874,4,4,2.6200911652022,4,4,4,2,4,4,4,4,4,4,time,Leipzig,interBuf,mid
LGF-Leipzig-100-80000-2--minTime-56-spanBuf-14023-time,1.51037634673492,1.48807866706158,1.50496178721685,1.60203511462656,1.06971041327235,1.43301229365871,1.49862934667636,1.62505702665059,1,1.46164581669656,1.49867622101659,1.5719907697549,1.36446798369878,1.54705358785335,1.528692955741,1.66215785108654,time,Leipzig,spanBuf,mid
LGF-Leipzig-100-80000-3--minTime-53-interBuf-2948-time,3.80692346334123,3.08357682513575,3.19463503501302,3.94920547804575,3.81223135258699,2.98625590357695,3.11778207695734,3.47867483546231,3.81133169676157,3.12433915569464,3.12038893757256,3.42471829844296,1,2,3.12182994686243,2.70582977915103,time,Leipzig,interBuf,mid
